Global Volcanism Program - Volcanoes of the World 5.0.2,,,Downloaded on 12 Feb 2023 at 08:34 PM,,,,,
Volcano Number,Volcano Name,Country,Emission ID,Method,Start Date,End Date,Total SO2 Mass (kt),SO2 Altitude Range Start
357120,Villarrica,Chile,328,Satellite,2015 Mar 03,2015 Mar 03,5.000,10.0
352050,Cotopaxi,Ecuador,301,Satellite,2015 Aug 14,2015 Aug 14,20.000,18.0
358020,Calbuco,Chile,330,Satellite,2015 Apr 22,2015 Apr 22,400.000,20.0
358057,"Hudson, Cerro",Chile,333,Satellite,2011 Oct 26,2011 Oct 26,1.000,11.9
357040,Planchon-Peteroa,Chile,323,Satellite,2011 May 02,2011 May 02,1.000,6.0
357150,Puyehue-Cordon Caulle,Chile,329,Satellite,2011 Jun 04,2011 Jun 04,200.000,14.0
353010,Fernandina,Ecuador,311,Satellite,2009 Apr 11,2009 Apr 11,521.000,3.0
357110,Llaima,Chile,327,Satellite,2009 Apr 03,2009 Apr 03,10.000,4.0
353060,"Azul, Cerro",Ecuador,318,Satellite,2008 May 30,2008 May 30,157.000,3.0
352080,Tungurahua,Ecuador,305,Satellite,2006 Jul 15,2006 Jul 15,10.000,12.0
352080,Tungurahua,Ecuador,306,Satellite,2006 Aug 16,2006 Aug 16,30.000,16.0
355100,Lascar,Chile,322,Satellite,2006 Apr 18,2006 Apr 18,2.000,8.0
353050,"Negra, Sierra",Ecuador,315,Satellite,2005 Oct 23,2005 Oct 23,1928.000,15.0
355100,Lascar,Chile,321,Satellite,2005 May 04,2005 May 04,3.000,10.0
351080,Galeras,Colombia,299,Satellite,2004 Aug 12,2004 Aug 12,3.000,11.0
352080,Tungurahua,Ecuador,304,Satellite,2003 Mar 08,2003 Mar 08,12.000,15.0
352010,Reventador,Ecuador,300,Satellite,2002 Nov 03,2002 Nov 03,84.000,17.0
352080,Tungurahua,Ecuador,302,Satellite,1999 Nov 16,1999 Nov 16,6.000,15.0
353060,"Azul, Cerro",Ecuador,317,Satellite,1998 Sep 15,1998 Sep 15,714.000,15.0
355100,Lascar,Chile,320,Satellite,1993 Apr 19,1993 Apr 19,450.000,16.0
353080,Marchena,Ecuador,319,Satellite,1991 Sep 26,1991 Sep 26,200.000,2.0
351020,"Ruiz, Nevado del",Colombia,298,Satellite,1989 Sep 01,1989 Sep 01,12.000,15.3
351020,"Ruiz, Nevado del",Colombia,296,Satellite,1985 Sep 12,1985 Sep 12,90.000,15.0
351020,"Ruiz, Nevado del",Colombia,297,Satellite,1985 Nov 14,1985 Nov 14,660.000,25.0
353020,Wolf,Ecuador,312,Satellite,1982 Aug 29,1982 Aug 29,1080.000,4.0
353050,"Negra, Sierra",Ecuador,314,Satellite,1979 Nov 13,1979 Nov 13,2524.000,14.0
353060,"Azul, Cerro",Ecuador,316,Satellite,1979 Feb 01,1979 Feb 01,358.000,2.0